id,qid1,qid2,question1,question2,is_duplicate
1,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0
2,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
3,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0
4,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0
5,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0
6,11,12,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1
7,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,0
8,15,16,How can I be a good geologist?,What should I do to be a great geologist?,1
9,17,18,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0
10,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0
11,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0
12,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1
13,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1
14,27,28,What was your first sexual experience like?,What was your first sexual experience?,1
15,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0
16,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1
17,33,34,What does manipulation mean?,What does manipulation means?,1
18,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0
19,37,38,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1
20,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0
21,41,42,Why do rockets look white?,Why are rockets and boosters painted white?,1
22,43,44,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0
23,45,46,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0
24,47,48,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0
25,49,50,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0
26,51,52,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0
27,53,54,What is web application?,What is the web application framework?,0
28,55,56,Does society place too much importance on sports?,How do sports contribute to the society?,0
29,57,58,What is best way to make money online?,What is best way to ask for money online?,0
30,59,60,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1
31,61,62,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0
32,63,64,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1
33,65,66,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1
34,67,68,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0
35,69,70,What is the best travel website in spain?,What is the best travel website?,0
36,71,72,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0
37,73,74,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
38,75,76,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0
39,77,78,How do we prepare for UPSC?,How do I prepare for civil service?,1
40,79,80,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0
41,81,82,Why do Slavs squat?,Will squats make my legs thicker?,0
42,83,84,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0
43,85,86,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0
44,87,88,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0
45,89,90,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
46,91,92,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0
47,93,94,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0
48,95,96,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0
49,97,98,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1
50,99,100,How do I make friends.,How to make friends ?,1
51,101,102,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,1
52,103,104,"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,1
53,105,106,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0
54,107,108,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
55,109,110,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
56,111,112,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
57,113,114,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
58,115,116,What are some good rap songs to dance to?,What are some of the best rap songs?,0
59,117,118,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1
60,119,120,What are the best ways to learn French?,How do I learn french genders?,0
61,121,122,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
62,123,124,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
63,125,126,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1
64,127,128,Why do I always get depressed?,Why do I always get depressed in the evening?,0
65,129,130,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
66,131,132,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1
67,133,134,What is the best book ever made?,What is the most important book you have ever read?,1
68,135,136,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1
69,137,138,What is your review of Performance Testing?,What is performance testing?,0
